token,(n)heads_token,freq,mark,note,ex_ref,ex,ex_node,ex_verse
אחרי.אבימלך,אחרי,1,g,,Judges 10:1,אַחֲרֵ֨י אֲבִימֶ֜לֶךְ ,726943,וַיָּקָם֩ אַחֲרֵ֨י אֲבִימֶ֜לֶךְ לְהֹושִׁ֣יעַ אֶת־יִשְׂרָאֵ֗ל תֹּולָ֧ע בֶּן־פּוּאָ֛ה בֶּן־דֹּודֹ֖ו אִ֣ישׁ יִשָּׂשכָ֑ר וְהֽוּא־יֹשֵׁ֥ב בְּשָׁמִ֖יר בְּהַ֥ר אֶפְרָֽיִם׃ 
אחרי.דברי,אחרי,1,g,,Job 29:22,אַחֲרֵ֣י דְ֭בָרִי ,858469,אַחֲרֵ֣י דְ֭בָרִי לֹ֣א יִשְׁנ֑וּ וְ֝עָלֵ֗ימֹו תִּטֹּ֥ף מִלָּתִֽי׃ 
אחרי.ה.דברים.ה.אלה,אחרי,3,g,,Joshua 24:29,אַֽחֲרֵי֙ הַדְּבָרִ֣ים הָאֵ֔לֶּה ,722857,וַיְהִ֗י אַֽחֲרֵי֙ הַדְּבָרִ֣ים הָאֵ֔לֶּה וַיָּ֛מָת יְהֹושֻׁ֥עַ בִּן־נ֖וּן עֶ֣בֶד יְהוָ֑ה בֶּן־מֵאָ֥ה וָעֶ֖שֶׂר שָׁנִֽים׃ 
אחרי.ה.דברים.ו.ה.אמת.ה.אלה,אחרי,1,g,,2_Chronicles 32:1,אַחֲרֵ֨י הַדְּבָרִ֤ים וְהָאֱמֶת֙ הָאֵ֔לֶּה ,902986,אַחֲרֵ֨י הַדְּבָרִ֤ים וְהָאֱמֶת֙ הָאֵ֔לֶּה בָּ֖א סַנְחֵרִ֣יב מֶֽלֶךְ־אַשּׁ֑וּר וַיָּבֹ֣א בִֽיהוּדָ֗ה וַיִּ֨חַן֙ עַל־הֶעָרִ֣ים הַבְּצֻרֹ֔ות וַיֹּ֖אמֶר לְבִקְעָ֥ם אֵלָֽיו׃ 
אחרי.ה.ימים.ה.הם,אחרי,1,g,,Jeremiah 31:33,אַחֲרֵ֨י הַיָּמִ֤ים הָהֵם֙ ,799270,כִּ֣י זֹ֣את הַבְּרִ֡ית אֲשֶׁ֣ר אֶכְרֹת֩ אֶת־בֵּ֨ית יִשְׂרָאֵ֜ל אַחֲרֵ֨י הַיָּמִ֤ים הָהֵם֙ נְאֻם־יְהוָ֔ה נָתַ֤תִּי אֶת־תֹּֽורָתִי֙ בְּקִרְבָּ֔ם וְעַל־לִבָּ֖ם אֶכְתֲּבֶ֑נָּה וְהָיִ֤יתִי לָהֶם֙ לֵֽאלֹהִ֔ים וְהֵ֖מָּה יִֽהְיוּ־לִ֥י לְעָֽם׃ 
אחרי.ה.מגפה,אחרי,1,g,,Numbers 25:19,אַחֲרֵ֣י הַמַּגֵּפָ֑ה׃ פ ,700987,וַיְהִ֖י אַחֲרֵ֣י הַמַּגֵּפָ֑ה׃ פ 
אחרי.ה.שׁבעים.שׁשׁים.ו.שׁנים,אחרי,1,g,,Daniel 9:26,אַחֲרֵ֤י הַשָּׁבֻעִים֙ שִׁשִּׁ֣ים וּשְׁנַ֔יִם ,880181,וְאַחֲרֵ֤י הַשָּׁבֻעִים֙ שִׁשִּׁ֣ים וּשְׁנַ֔יִם יִכָּרֵ֥ת מָשִׁ֖יחַ וְאֵ֣ין לֹ֑ו וְהָעִ֨יר וְהַקֹּ֜דֶשׁ יַ֠שְׁחִית עַ֣ם נָגִ֤יד הַבָּא֙ וְקִצֹּ֣ו בַשֶּׁ֔טֶף וְעַד֙ קֵ֣ץ מִלְחָמָ֔ה נֶחֱרֶ֖צֶת שֹׁמֵמֹֽות׃ 
אחרי.זאת,אחרי,2,g,,Job 42:16,אַֽחֲרֵי־זֹ֔את ,861326,וַיְחִ֤י אִיֹּוב֙ אַֽחֲרֵי־זֹ֔את מֵאָ֥ה וְאַרְבָּעִ֖ים שָׁנָ֑ה וַיִּרְאֶ֗ה אֶת־בָּנָיו֙ וְאֶת־בְּנֵ֣י בָנָ֔יו אַרְבָּעָ֖ה דֹּרֹֽות׃ 
אחרי.טהרתו,אחרי,2,g,,Ezekiel 44:26,אַחֲרֵ֖י טָֽהֳרָתֹ֑ו ,821319,וְאַחֲרֵ֖י טָֽהֳרָתֹ֑ו שִׁבְעַ֥ת יָמִ֖ים יִסְפְּרוּ־לֹֽו׃ 
אחרי.יהושׁע,אחרי,1,g,,Joshua 24:31,אַחֲרֵ֣י יְהֹושֻׁ֔עַ ,722876,וַיַּעֲבֹ֤ד יִשְׂרָאֵל֙ אֶת־יְהוָ֔ה כֹּ֖ל יְמֵ֣י יְהֹושֻׁ֑עַ וְכֹ֣ל׀ יְמֵ֣י הַזְּקֵנִ֗ים אֲשֶׁ֨ר הֶאֱרִ֤יכוּ יָמִים֙ אַחֲרֵ֣י יְהֹושֻׁ֔עַ וַאֲשֶׁ֣ר יָדְע֗וּ אֵ֚ת כָּל־מַעֲשֵׂ֣ה יְהוָ֔ה אֲשֶׁ֥ר עָשָׂ֖ה לְיִשְׂרָאֵֽל׃ 
אחרי.כל.זאת,אחרי,2,g,,2_Chronicles 21:18,אַחֲרֵ֖י כָּל־זֹ֑את ,900039,וְאַחֲרֵ֖י כָּל־זֹ֑את נְגָפֹ֨ו יְהוָ֧ה׀ בְּמֵעָ֛יו לָחֳלִ֖י לְאֵ֥ין מַרְפֵּֽא׃ 
אחרי.כל.רעתך,אחרי,1,g,,Ezekiel 16:23,אַחֲרֵ֖י כָּל־רָעָתֵ֑ךְ ,811050,וַיְהִ֕י אַחֲרֵ֖י כָּל־רָעָתֵ֑ךְ אֹ֣וי אֹ֣וי לָ֔ךְ נְאֻ֖ם אֲדֹנָ֥י יְהוִֽה׃ 
אחרי.כן,אחרי,47,g,,Judges 16:4,אַחֲרֵי־כֵ֔ן ,728999,וַֽיְהִי֙ אַחֲרֵי־כֵ֔ן וַיֶּאֱהַ֥ב אִשָּׁ֖ה בְּנַ֣חַל שֹׂרֵ֑ק וּשְׁמָ֖הּ דְּלִילָֽה׃ 
אחרי.מות.אביו,אחרי,1,g,,2_Chronicles 22:4,אַחֲרֵ֛י מֹ֥ות אָבִ֖יו ,900125,וַיַּ֧עַשׂ הָרַ֛ע בְּעֵינֵ֥י יְהוָ֖ה כְּבֵ֣ית אַחְאָ֑ב כִּי־הֵ֜מָּה הָֽיוּ־לֹ֣ו יֹֽועֲצִ֗ים אַחֲרֵ֛י מֹ֥ות אָבִ֖יו לְמַשְׁחִ֥ית לֹֽו׃ 
אחרי.מות.אברהם,אחרי,2,g,,Genesis 26:18,אַחֲרֵ֖י מֹ֣ות אַבְרָהָ֑ם ,659438,וַיָּ֨שָׁב יִצְחָ֜ק וַיַּחְפֹּ֣ר׀ אֶת־בְּאֵרֹ֣ת הַמַּ֗יִם אֲשֶׁ֤ר חָֽפְרוּ֙ בִּימֵי֙ אַבְרָהָ֣ם אָבִ֔יו וַיְסַתְּמ֣וּם פְּלִשְׁתִּ֔ים אַחֲרֵ֖י מֹ֣ות אַבְרָהָ֑ם וַיִּקְרָ֤א לָהֶן֙ שֵׁמֹ֔ות כַּשֵּׁמֹ֕ת אֲשֶׁר־קָרָ֥א לָהֶ֖ן אָבִֽיו׃ 
אחרי.מות.אחאב,אחרי,1,g,,2_Kings 1:1,אַחֲרֵ֖י מֹ֥ות אַחְאָֽב׃ ,764070,וַיִּפְשַׁ֤ע מֹואָב֙ בְּיִשְׂרָאֵ֔ל אַחֲרֵ֖י מֹ֥ות אַחְאָֽב׃ 
אחרי.מות.אישׁך,אחרי,1,g,,Ruth 2:11,אַחֲרֵ֖י מֹ֣ות אִישֵׁ֑ךְ ,868012,וַיַּ֤עַן בֹּ֨עַז֙ וַיֹּ֣אמֶר לָ֔הּ הֻגֵּ֨ד הֻגַּ֜ד לִ֗י כֹּ֤ל אֲשֶׁר־עָשִׂית֙ אֶת־חֲמֹותֵ֔ךְ אַחֲרֵ֖י מֹ֣ות אִישֵׁ֑ךְ וַתַּֽעַזְבִ֞י אָבִ֣יךְ וְאִמֵּ֗ךְ וְאֶ֨רֶץ֙ מֹֽולַדְתֵּ֔ךְ וַתֵּ֣לְכִ֔י אֶל־עַ֕ם אֲשֶׁ֥ר לֹא־יָדַ֖עַתְּ תְּמֹ֥ול שִׁלְשֹֽׁום׃ 
אחרי.מות.ה.כהן.ה.גדל,אחרי,1,g,,Numbers 35:28,אַחֲרֵ֥י מֹות֙ הַכֹּהֵ֣ן הַגָּדֹ֔ל ,703972,כִּ֣י בְעִ֤יר מִקְלָטֹו֙ יֵשֵׁ֔ב עַד־מֹ֖ות הַכֹּהֵ֣ן הַגָּדֹ֑ל וְאַחֲרֵ֥י מֹות֙ הַכֹּהֵ֣ן הַגָּדֹ֔ל יָשׁוּב֙ הָרֹצֵ֔חַ אֶל־אֶ֖רֶץ אֲחֻזָּתֹֽו׃ 
אחרי.מות.יהואשׁ.בן.יהואחז.מלך.ישׂראל,אחרי,1,g,,2_Kings 14:17,אַֽחֲרֵ֣י מֹ֔ות יְהֹואָ֥שׁ בֶּן־יְהֹֽואָחָ֖ז מֶ֣לֶךְ יִשְׂרָאֵ֑ל ,769893,וַיְחִ֨י אֲמַצְיָ֤הוּ בֶן־יֹואָשׁ֙ מֶ֣לֶךְ יְהוּדָ֔ה אַֽחֲרֵ֣י מֹ֔ות יְהֹואָ֥שׁ בֶּן־יְהֹֽואָחָ֖ז מֶ֣לֶךְ יִשְׂרָאֵ֑ל חֲמֵ֥שׁ עֶשְׂרֵ֖ה שָׁנָֽה׃ 
אחרי.מות.יהוידע,אחרי,1,g,,2_Chronicles 24:17,אַֽחֲרֵ֥י מֹות֙ יְהֹ֣ויָדָ֔ע ,900739,וְאַֽחֲרֵ֥י מֹות֙ יְהֹ֣ויָדָ֔ע בָּ֚אוּ שָׂרֵ֣י יְהוּדָ֔ה וַיִּֽשְׁתַּחֲו֖וּ לַמֶּ֑לֶךְ אָ֛ז שָׁמַ֥ע הַמֶּ֖לֶךְ אֲלֵיהֶֽם׃ 
אחרי.מות.יהושׁע,אחרי,1,g,,Judges 1:1,אַחֲרֵי֙ מֹ֣ות יְהֹושֻׁ֔עַ ,722914,וַיְהִ֗י אַחֲרֵי֙ מֹ֣ות יְהֹושֻׁ֔עַ וַֽיִּשְׁאֲלוּ֙ בְּנֵ֣י יִשְׂרָאֵ֔ל בַּיהוָ֖ה לֵאמֹ֑ר מִ֣י יַעֲלֶה־לָּ֧נוּ אֶל־הַֽכְּנַעֲנִ֛י בַּתְּחִלָּ֖ה לְהִלָּ֥חֶם בֹּֽו׃ 
אחרי.מות.יואשׁ.בן.יהואחז.מלך.ישׂראל,אחרי,1,g,,2_Chronicles 25:25,אַחֲרֵ֣י מֹ֔ות יֹואָ֥שׁ בֶּן־יְהֹואָחָ֖ז מֶ֣לֶךְ יִשְׂרָאֵ֑ל ,901275,וַיְחִ֨י אֲמַצְיָ֤הוּ בֶן־יֹואָשׁ֙ מֶ֣לֶךְ יְהוּדָ֔ה אַחֲרֵ֣י מֹ֔ות יֹואָ֥שׁ בֶּן־יְהֹואָחָ֖ז מֶ֣לֶךְ יִשְׂרָאֵ֑ל חֲמֵ֥שׁ עֶשְׂרֵ֖ה שָׁנָֽה׃ 
אחרי.מות.משׁה.עבד.יהוה,אחרי,1,g,,Joshua 1:1,אַחֲרֵ֛י מֹ֥ות מֹשֶׁ֖ה עֶ֣בֶד יְהוָ֑ה ,715737,וַיְהִ֗י אַחֲרֵ֛י מֹ֥ות מֹשֶׁ֖ה עֶ֣בֶד יְהוָ֑ה וַיֹּ֤אמֶר יְהוָה֙ אֶל־יְהֹושֻׁ֣עַ בִּן־נ֔וּן מְשָׁרֵ֥ת מֹשֶׁ֖ה לֵאמֹֽר׃ 
אחרי.מות.שׁאול,אחרי,1,g,,2_Samuel 1:1,אַֽחֲרֵי֙ מֹ֣ות שָׁא֔וּל ,743799,וַיְהִ֗י אַֽחֲרֵי֙ מֹ֣ות שָׁא֔וּל וְדָוִ֣ד שָׁ֔ב מֵהַכֹּ֖ות אֶת־הָעֲמָלֵ֑ק וַיֵּ֧שֶׁב דָּוִ֛ד בְּצִקְלָ֖ג יָמִ֥ים שְׁנָֽיִם׃ 
אחרי.מות.שׁני.בני.אהרן,אחרי,1,g,,Leviticus 16:1,אַחֲרֵ֣י מֹ֔ות שְׁנֵ֖י בְּנֵ֣י אַהֲרֹ֑ן ,687936,וַיְדַבֵּ֤ר יְהוָה֙ אֶל־מֹשֶׁ֔ה אַחֲרֵ֣י מֹ֔ות שְׁנֵ֖י בְּנֵ֣י אַהֲרֹ֑ן בְּקָרְבָתָ֥ם לִפְנֵי־יְהוָ֖ה וַיָּמֻֽתוּ׃ 
אחרי.מותי,אחרי,2,g,,Deuteronomy 31:27,אַחֲרֵ֥י מֹותִֽי׃ ,714751,כִּ֣י אָנֹכִ֤י יָדַ֨עְתִּי֙ אֶֽת־מֶרְיְךָ֔ וְאֶֽת־עָרְפְּךָ֖ הַקָּשֶׁ֑ה הֵ֣ן בְּעֹודֶנִּי֩ חַ֨י עִמָּכֶ֜ם הַיֹּ֗ום מַמְרִ֤ים הֱיִתֶם֙ עִם־יְהֹוָ֔ה וְאַ֖ף כִּי־אַחֲרֵ֥י מֹותִֽי׃ 
אחרי.מתי,אחרי,1,g,,Jeremiah 13:27,אַחֲרֵ֥י מָתַ֖י ,793721,נִֽאֻפַ֤יִךְ וּמִצְהֲלֹותַ֨יִךְ֙ זִמַּ֣ת זְנוּתֵ֔ךְ עַל־גְּבָעֹות֙ בַּשָּׂדֶ֔ה רָאִ֖יתִי שִׁקּוּצָ֑יִךְ אֹ֥וי לָךְ֙ יְר֣וּשָׁלִַ֔ם לֹ֣א תִטְהֲרִ֔י אַחֲרֵ֥י מָתַ֖י עֹֽד׃ פ 
אחריה,אחריה,1,g,,2_Chronicles 11:20,אַחֲרֶ֣יהָ ,897487,וְאַחֲרֶ֣יהָ לָקַ֔ח אֶֽת־מַעֲכָ֖ה בַּת־אַבְשָׁלֹ֑ום וַתֵּ֣לֶד לֹ֗ו אֶת־אֲבִיָּה֙ וְאֶת־עַתַּ֔י וְאֶת־זִיזָ֖א וְאֶת־שְׁלֹמִֽית׃ 
אחריהם,אחריהם,2,g,,Genesis 48:6,אַחֲרֵיהֶ֖ם ,668648,וּמֹולַדְתְּךָ֛ אֲשֶׁר־הֹולַ֥דְתָּ אַחֲרֵיהֶ֖ם לְךָ֣ יִהְי֑וּ עַ֣ל שֵׁ֧ם אֲחֵיהֶ֛ם יִקָּרְא֖וּ בְּנַחֲלָתָֽם׃ 
אחריהן,אחריהן,2,g,,Genesis 41:3,אַחֲרֵיהֶן֙ ,665428,וְהִנֵּ֞ה שֶׁ֧בַע פָּרֹ֣ות אֲחֵרֹ֗ות עֹלֹ֤ות אַחֲרֵיהֶן֙ מִן־הַיְאֹ֔ר רָעֹ֥ות מַרְאֶ֖ה וְדַקֹּ֣ות בָּשָׂ֑ר וַֽתַּעֲמֹ֛דְנָה אֵ֥צֶל הַפָּרֹ֖ות עַל־שְׂפַ֥ת הַיְאֹֽר׃ 
אחריו,אחריו,22,g,,Judges 12:11,אַֽחֲרָיו֙ ,727869,וַיִּשְׁפֹּ֤ט אַֽחֲרָיו֙ אֶת־יִשְׂרָאֵ֔ל אֵילֹ֖ון הַזְּבֽוּלֹנִ֑י וַיִּשְׁפֹּ֥ט אֶת־יִשְׂרָאֵ֖ל עֶ֥שֶׂר שָׁנִֽים׃ 
אחריך,אחריך,2,g,,1_Kings 3:12,אַחֲרֶ֖יךָ ,754959,הִנֵּ֥ה עָשִׂ֖יתִי כִּדְבָרֶ֑יךָ הִנֵּ֣ה׀ נָתַ֣תִּי לְךָ֗ לֵ֚ב חָכָ֣ם וְנָבֹ֔ון אֲשֶׁ֤ר כָּמֹ֨וךָ֙ לֹא־הָיָ֣ה לְפָנֶ֔יךָ וְאַחֲרֶ֖יךָ לֹא־יָק֥וּם כָּמֹֽוךָ׃ 
אחת.ב.ה.שׁנה,אחת,3,g,,Exodus 30:10,אַחַ֤ת בַּשָּׁנָה֙ ,679381,וְכִפֶּ֤ר אַהֲרֹן֙ עַל־קַרְנֹתָ֔יו אַחַ֖ת בַּשָּׁנָ֑ה מִדַּ֞ם חַטַּ֣את הַכִּפֻּרִ֗ים אַחַ֤ת בַּשָּׁנָה֙ יְכַפֵּ֤ר עָלָיו֙ לְדֹרֹ֣תֵיכֶ֔ם קֹֽדֶשׁ־קָֽדָשִׁ֥ים ה֖וּא לַיהוָֽה׃ פ 
אחת.ל.שׁלושׁ.שׁנים,אחת,1,g,,2_Chronicles 9:21,אַחַת֩ לְשָׁלֹ֨ושׁ שָׁנִ֜ים ,896963,כִּֽי־אֳנִיֹּ֤ות לַמֶּ֨לֶךְ֙ הֹלְכֹ֣ות תַּרְשִׁ֔ישׁ עִ֖ם עַבְדֵ֣י חוּרָ֑ם אַחַת֩ לְשָׁלֹ֨ושׁ שָׁנִ֜ים תָּבֹ֣ואנָה׀ אֳנִיֹּ֣ות תַּרְשִׁ֗ישׁ נֹֽשְׂאֹות֙ זָהָ֣ב וָכֶ֔סֶף שֶׁנְהַבִּ֥ים וְקֹופִ֖ים וְתוּכִּיִּֽים׃ פ 
אחת.ל.שׁלשׁ.שׁנים,אחת,1,g,,1_Kings 10:22,אַחַת֩ לְשָׁלֹ֨שׁ שָׁנִ֜ים ,757950,כִּי֩ אֳנִ֨י תַרְשִׁ֤ישׁ לַמֶּ֨לֶךְ֙ בַּיָּ֔ם עִ֖ם אֳנִ֣י חִירָ֑ם אַחַת֩ לְשָׁלֹ֨שׁ שָׁנִ֜ים תָּבֹ֣וא׀ אֳנִ֣י תַרְשִׁ֗ישׁ נֹֽשְׂאֵת֙ זָהָ֣ב וָכֶ֔סֶף שֶׁנְהַבִּ֥ים וְקֹפִ֖ים וְתֻכִּיִּֽים׃ 
אחת.עשׂרה.שׁנה,שׁנה,5,g,,2_Chronicles 36:11,אַחַ֤ת עֶשְׂרֵה֙ שָׁנָ֔ה ,904599,בֶּן־עֶשְׂרִ֧ים וְאַחַ֛ת שָׁנָ֖ה צִדְקִיָּ֣הוּ בְמָלְכֹ֑ו וְאַחַ֤ת עֶשְׂרֵה֙ שָׁנָ֔ה מָלַ֖ךְ בִּירוּשָׁלִָֽם׃ 
אך,אך,1,g,,1_Samuel 1:23,אַ֛ךְ ,731915,וַיֹּ֣אמֶר לָהּ֩ אֶלְקָנָ֨ה אִישָׁ֜הּ עֲשִׂ֧י הַטֹּ֣וב בְּעֵינַ֗יִךְ שְׁבִי֙ עַד־גָּמְלֵ֣ךְ אֹתֹ֔ו אַ֛ךְ יָקֵ֥ם יְהוָ֖ה אֶת־דְּבָרֹ֑ו וַתֵּ֤שֶׁב הָֽאִשָּׁה֙ וַתֵּ֣ינֶק אֶת־בְּנָ֔הּ עַד־גָּמְלָ֖הּ אֹתֹֽו׃ 
אך.ב.ה.יום.ה.ראשׁון,ב,1,g,,Exodus 12:15,אַ֚ךְ בַּיֹּ֣ום הָרִאשֹׁ֔ון ,673290,שִׁבְעַ֤ת יָמִים֙ מַצֹּ֣ות תֹּאכֵ֔לוּ אַ֚ךְ בַּיֹּ֣ום הָרִאשֹׁ֔ון תַּשְׁבִּ֥יתוּ שְּׂאֹ֖ר מִבָּתֵּיכֶ֑ם כִּ֣י׀ כָּל־אֹכֵ֣ל חָמֵ֗ץ וְנִכְרְתָ֞ה הַנֶּ֤פֶשׁ הַהִוא֙ מִיִּשְׂרָאֵ֔ל מִיֹּ֥ום הָרִאשֹׁ֖ן עַד־יֹ֥ום הַשְּׁבִעִֽי׃ 
אך.ב.ה.עשׂור.ל.ה.חדשׁ.ה.שׁביעי.ה.זה,ב,1,g,,Leviticus 23:27,אַ֡ךְ בֶּעָשֹׂ֣ור לַחֹדֶשׁ֩ הַשְּׁבִיעִ֨י הַזֶּ֜ה ,690405,אַ֡ךְ בֶּעָשֹׂ֣ור לַחֹדֶשׁ֩ הַשְּׁבִיעִ֨י הַזֶּ֜ה יֹ֧ום הַכִּפֻּרִ֣ים ה֗וּא מִֽקְרָא־קֹ֨דֶשׁ֙ יִהְיֶ֣ה לָכֶ֔ם וְעִנִּיתֶ֖ם אֶת־נַפְשֹׁתֵיכֶ֑ם וְהִקְרַבְתֶּ֥ם אִשֶּׁ֖ה לַיהוָֽה׃ 
אך.ב.חמשׁה.עשׂר.יום.ל.ה.חדשׁ.ה.שׁביעי,ב,1,g,,Leviticus 23:39,אַ֡ךְ בַּחֲמִשָּׁה֩ עָשָׂ֨ר יֹ֜ום לַחֹ֣דֶשׁ הַשְּׁבִיעִ֗י ,690509,אַ֡ךְ בַּחֲמִשָּׁה֩ עָשָׂ֨ר יֹ֜ום לַחֹ֣דֶשׁ הַשְּׁבִיעִ֗י בְּאָסְפְּכֶם֙ אֶת־תְּבוּאַ֣ת הָאָ֔רֶץ תָּחֹ֥גּוּ אֶת־חַג־יְהוָ֖ה שִׁבְעַ֣ת יָמִ֑ים בַּיֹּ֤ום הָֽרִאשֹׁון֙ שַׁבָּתֹ֔ון וּבַיֹּ֥ום הַשְּׁמִינִ֖י שַׁבָּתֹֽון׃ 
