node,function,verse,text,front,sentence
513134,atelic_ext,2 Chr 9:30,אַרְבָּעִ֥ים שָׁנָֽה׃,Ø,וַיִּמְלֹ֨ךְ שְׁלֹמֹ֧ה בִֽירוּשָׁלִַ֛ם עַל־כָּל־יִשְׂרָאֵ֖ל אַרְבָּעִ֥ים שָׁנָֽה׃ וַיִּשְׁכַּ֤ב שְׁלֹמֹה֙ עִם־אֲבֹתָ֔יו וַיִּמְלֹ֛ךְ רְחַבְעָ֥ם בְּנֹ֖ו תַּחְתָּֽיו׃ פ 
513171,atelic_ext,2 Chr 10:7,כָּל־הַיָּמִֽים׃,Ø,וְהָי֥וּ לְךָ֛ עֲבָדִ֖ים כָּל־הַיָּמִֽים׃ 
513199,simultaneous,2 Chr 10:12,בַּיֹּ֣ום שְּׁלִשִׁ֑י,בְּ,וַיָּבֹ֨א יָרָבְעָ֧ם וְכָל־הָעָ֛ם אֶל־רְחַבְעָ֖ם בַּיֹּ֣ום הַשְּׁלִשִׁ֑י כַּאֲשֶׁ֨ר דִּבֶּ֤ר הַמֶּ֨לֶךְ֙ לֵאמֹ֔ר 
513202,simultaneous,2 Chr 10:12,בַּיֹּ֥ום שְּׁלִשִֽׁי׃,בְּ,שׁ֥וּבוּ אֵלַ֖י בַּיֹּ֥ום הַשְּׁלִשִֽׁי׃ 
513304,simultaneous,2 Chr 12:2,בַּשָּׁנָ֤ה חֲמִישִׁית֙ לַמֶּ֣לֶךְ,בְּ,וַיְהִ֞י בַּשָּׁנָ֤ה הַֽחֲמִישִׁית֙ לַמֶּ֣לֶךְ רְחַבְעָ֔ם 
513354,atelic_ext,2 Chr 12:13,שֲׁבַ֨ע עֶשְׂרֵ֥ה שָׁנָ֣ה׀,Ø,וּֽשֲׁבַ֨ע עֶשְׂרֵ֥ה שָׁנָ֣ה׀ מָלַ֣ךְ בִּֽירוּשָׁלִַ֗ם הָ֠עִיר אֲשֶׁר־בָּחַ֨ר יְהוָ֜ה לָשׂ֨וּם אֶת־שְׁמֹ֥ו שָׁם֙ מִכֹּל֙ שִׁבְטֵ֣י יִשְׂרָאֵ֔ל 
513368,simultaneous,2 Chr 13:1,בִּשְׁנַ֛ת שְׁמֹונֶ֥ה עֶשְׂרֵ֖ה לַמֶּ֣לֶךְ,בְּ,בִּשְׁנַ֛ת שְׁמֹונֶ֥ה עֶשְׂרֵ֖ה לַמֶּ֣לֶךְ יָרָבְעָ֑ם 
513370,atelic_ext,2 Chr 13:2,שָׁלֹ֣ושׁ שָׁנִ֗ים,Ø,שָׁלֹ֣ושׁ שָׁנִ֗ים מָלַךְ֙ בִּיר֣וּשָׁלִַ֔ם 
513438,simultaneous,2 Chr 13:18,בָּעֵ֣ת הִ֑יא,בְּ,וַיִּכָּנְע֥וּ בְנֵי־יִשְׂרָאֵ֖ל בָּעֵ֣ת הַהִ֑יא 
513443,simultaneous,2 Chr 13:20,בִּימֵ֣י אֲבִיָּ֑הוּ,בְּ,וְלֹֽא־עָצַ֧ר כֹּֽחַ־יָרָבְעָ֛ם עֹ֖וד בִּימֵ֣י אֲבִיָּ֑הוּ 
513467,simultaneous,2 Chr 14:5,בַּשָּׁנִ֣ים אֵ֔לֶּה,בְּ,וְאֵין־עִמֹּ֤ו מִלְחָמָה֙ בַּשָּׁנִ֣ים הָאֵ֔לֶּה 
513532,simultaneous,2 Chr 15:5,בָעִתִּ֣ים הֵ֔ם,בְּ,וּבָעִתִּ֣ים הָהֵ֔ם אֵ֥ין שָׁלֹ֖ום לַיֹּוצֵ֣א וְלַבָּ֑א 
