,cl_node,ref,cl_text,verse_text
1820,470518,Isaiah 31:7,כִּ֚י בַּיֹּ֣ום הַה֔וּא יִמְאָס֗וּן אִ֚ישׁ אֱלִילֵ֣י כַסְפֹּ֔ו וֶאֱלִילֵ֖י זְהָבֹ֑ו ,כִּ֚י בַּיֹּ֣ום הַה֔וּא יִמְאָס֗וּן אִ֚ישׁ אֱלִילֵ֣י כַסְפֹּ֔ו וֶאֱלִילֵ֖י זְהָבֹ֑ו אֲשֶׁ֨ר עָשׂ֥וּ לָכֶ֛ם יְדֵיכֶ֖ם חֵֽטְא׃ 
2521,482035,Ezekiel 20:6,בַּיֹּ֣ום הַה֗וּא נָשָׂ֤אתִי יָדִי֙ לָהֶ֔ם ,בַּיֹּ֣ום הַה֗וּא נָשָׂ֤אתִי יָדִי֙ לָהֶ֔ם לְהֹֽוצִיאָ֖ם מֵאֶ֣רֶץ מִצְרָ֑יִם אֶל־אֶ֜רֶץ אֲשֶׁר־תַּ֣רְתִּי לָהֶ֗ם זָבַ֤ת חָלָב֙ וּדְבַ֔שׁ צְבִ֥י הִ֖יא לְכָל־הָאֲרָצֹֽות׃ 
2580,482841,Ezekiel 24:26,בַּיֹּ֣ום הַה֔וּא יָבֹ֥וא הַפָּלִ֖יט אֵלֶ֑יךָ לְהַשְׁמָע֖וּת אָזְנָֽיִם׃ ,בַּיֹּ֣ום הַה֔וּא יָבֹ֥וא הַפָּלִ֖יט אֵלֶ֑יךָ לְהַשְׁמָע֖וּת אָזְנָֽיִם׃ 
2581,482842,Ezekiel 24:27,בַּיֹּ֣ום הַה֗וּא יִפָּ֤תַח פִּ֨יךָ֙ אֶת־הַפָּלִ֔יט ,בַּיֹּ֣ום הַה֗וּא יִפָּ֤תַח פִּ֨יךָ֙ אֶת־הַפָּלִ֔יט וּתְדַבֵּ֕ר וְלֹ֥א תֵֽאָלֵ֖ם עֹ֑וד וְהָיִ֤יתָ לָהֶם֙ לְמֹופֵ֔ת וְיָדְע֖וּ כִּֽי־אֲנִ֥י יְהוָֽה׃ ס 
2620,483312,Ezekiel 29:21,בַּיֹּ֣ום הַה֗וּא אַצְמִ֤יחַ קֶ֨רֶן֙ לְבֵ֣ית יִשְׂרָאֵ֔ל ,בַּיֹּ֣ום הַה֗וּא אַצְמִ֤יחַ קֶ֨רֶן֙ לְבֵ֣ית יִשְׂרָאֵ֔ל וּלְךָ֛ אֶתֵּ֥ן פִּתְחֹֽון־פֶּ֖ה בְּתֹוכָ֑ם וְיָדְע֖וּ כִּי־אֲנִ֥י יְהוָֽה׃ פ 
2623,483344,Ezekiel 30:9,בַּיֹּ֣ום הַה֗וּא יֵצְא֨וּ מַלְאָכִ֤ים מִלְּפָנַי֙ בַּצִּ֔ים ,בַּיֹּ֣ום הַה֗וּא יֵצְא֨וּ מַלְאָכִ֤ים מִלְּפָנַי֙ בַּצִּ֔ים לְהַחֲרִ֖יד אֶת־כּ֣וּשׁ בֶּ֑טַח וְהָיְתָ֨ה חַלְחָלָ֤ה בָהֶם֙ בְּיֹ֣ום מִצְרַ֔יִם כִּ֥י הִנֵּ֖ה בָּאָֽה׃ ס 
2708,484368,Ezekiel 38:10,בַּיֹּ֣ום הַה֗וּא יַעֲל֤וּ דְבָרִים֙ עַל־לְבָבֶ֔ךָ ,כֹּ֥ה אָמַ֖ר אֲדֹנָ֣י יְהוִ֑ה וְהָיָ֣ה׀ בַּיֹּ֣ום הַה֗וּא יַעֲל֤וּ דְבָרִים֙ עַל־לְבָבֶ֔ךָ וְחָשַׁבְתָּ֖ מַחֲשֶׁ֥בֶת רָעָֽה׃ 
2886,487221,Amos 8:13,בַּיֹּ֨ום הַה֜וּא תִּ֠תְעַלַּפְנָה הַבְּתוּלֹ֧ת הַיָּפֹ֛ות וְהַבַּחוּרִ֖ים בַּצָּמָֽא׃ ,בַּיֹּ֨ום הַה֜וּא תִּ֠תְעַלַּפְנָה הַבְּתוּלֹ֧ת הַיָּפֹ֛ות וְהַבַּחוּרִ֖ים בַּצָּמָֽא׃ 
2888,487283,Amos 9:11,בַּיֹּ֣ום הַה֔וּא אָקִ֛ים אֶת־סֻכַּ֥ת דָּוִ֖יד ,בַּיֹּ֣ום הַה֔וּא אָקִ֛ים אֶת־סֻכַּ֥ת דָּוִ֖יד הַנֹּפֶ֑לֶת וְגָדַרְתִּ֣י אֶת־פִּרְצֵיהֶ֗ן וַהֲרִֽסֹתָיו֙ אָקִ֔ים וּבְנִיתִ֖יהָ כִּימֵ֥י עֹולָֽם׃ 
2908,487706,Micah 2:4,בַּיֹּ֨ום הַה֜וּא יִשָּׂ֧א עֲלֵיכֶ֣ם מָשָׁ֗ל ,בַּיֹּ֨ום הַה֜וּא יִשָּׂ֧א עֲלֵיכֶ֣ם מָשָׁ֗ל וְנָהָ֨ה נְהִ֤י נִֽהְיָה֙ אָמַר֙ שָׁדֹ֣וד נְשַׁדֻּ֔נוּ חֵ֥לֶק עַמִּ֖י יָמִ֑יר אֵ֚יךְ יָמִ֣ישׁ לִ֔י לְשֹׁובֵ֥ב שָׂדֵ֖ינוּ יְחַלֵּֽק׃ 
2981,488734,Zephaniah 3:11,בַּיֹּ֣ום הַה֗וּא לֹ֤א תֵבֹ֨ושִׁי֙ מִכֹּ֣ל עֲלִילֹתַ֔יִךְ ,בַּיֹּ֣ום הַה֗וּא לֹ֤א תֵבֹ֨ושִׁי֙ מִכֹּ֣ל עֲלִילֹתַ֔יִךְ אֲשֶׁ֥ר פָּשַׁ֖עַתְּ בִּ֑י כִּי־אָ֣ז׀ אָסִ֣יר מִקִּרְבֵּ֗ךְ עַלִּיזֵי֙ גַּאֲוָתֵ֔ךְ וְלֹֽא־תֹוסִ֧פִי לְגָבְהָ֛ה עֹ֖וד בְּהַ֥ר קָדְשִֽׁי׃ 
2983,488758,Zephaniah 3:16,בַּיֹּ֣ום הַה֔וּא יֵאָמֵ֥ר לִירֽוּשָׁלִַ֖ם ,בַּיֹּ֣ום הַה֔וּא יֵאָמֵ֥ר לִירֽוּשָׁלִַ֖ם אַל־תִּירָ֑אִי צִיֹּ֖ון אַל־יִרְפּ֥וּ יָדָֽיִךְ׃ 
3032,489747,Zechariah 12:3,בַיֹּום־הַ֠הוּא אָשִׂ֨ים אֶת־יְרוּשָׁלִַ֜ם אֶ֤בֶן מַֽעֲמָסָה֙ לְכָל־הָ֣עַמִּ֔ים ,וְהָיָ֣ה בַיֹּום־הַ֠הוּא אָשִׂ֨ים אֶת־יְרוּשָׁלִַ֜ם אֶ֤בֶן מַֽעֲמָסָה֙ לְכָל־הָ֣עַמִּ֔ים כָּל־עֹמְסֶ֖יהָ שָׂרֹ֣וט יִשָּׂרֵ֑טוּ וְנֶאֶסְפ֣וּ עָלֶ֔יהָ כֹּ֖ל גֹּויֵ֥י הָאָֽרֶץ׃ 
3036,489757,Zechariah 12:6,בַּיֹּ֣ום הַה֡וּא אָשִׂים֩ אֶת־אַלֻּפֵ֨י יְהוּדָ֜ה כְּֽכִיֹּ֧ור אֵ֣שׁ בְּעֵצִ֗ים ,בַּיֹּ֣ום הַה֡וּא אָשִׂים֩ אֶת־אַלֻּפֵ֨י יְהוּדָ֜ה כְּֽכִיֹּ֧ור אֵ֣שׁ בְּעֵצִ֗ים וּכְלַפִּ֥יד אֵשׁ֙ בְּעָמִ֔יר וְאָ֨כְל֜וּ עַל־יָמִ֧ין וְעַל־שְׂמֹ֛אול אֶת־כָּל־הָעַמִּ֖ים סָבִ֑יב וְיָשְׁבָ֨ה יְרוּשָׁלִַ֥ם עֹ֛וד תַּחְתֶּ֖יהָ בִּירוּשָׁלִָֽם׃ פ 
3037,489763,Zechariah 12:8,בַּיֹּ֣ום הַה֗וּא יָגֵ֤ן יְהוָה֙ בְּעַד֙ יֹושֵׁ֣ב יְרוּשָׁלִַ֔ם ,בַּיֹּ֣ום הַה֗וּא יָגֵ֤ן יְהוָה֙ בְּעַד֙ יֹושֵׁ֣ב יְרוּשָׁלִַ֔ם וְהָיָ֞ה הַנִּכְשָׁ֥ל בָּהֶ֛ם בַּיֹּ֥ום הַה֖וּא כְּדָוִ֑יד וּבֵ֤ית דָּוִיד֙ כֵּֽאלֹהִ֔ים כְּמַלְאַ֥ךְ יְהוָ֖ה לִפְנֵיהֶֽם׃ 
3038,489768,Zechariah 12:9,בַּיֹּ֣ום הַה֑וּא אֲבַקֵּ֗שׁ ,וְהָיָ֖ה בַּיֹּ֣ום הַה֑וּא אֲבַקֵּ֗שׁ לְהַשְׁמִיד֙ אֶת־כָּל־הַגֹּויִ֔ם הַבָּאִ֖ים עַל־יְרוּשָׁלִָֽם׃ 
3039,489777,Zechariah 12:11,בַּיֹּ֣ום הַה֗וּא יִגְדַּ֤ל הַמִּסְפֵּד֙ בִּיר֣וּשָׁלִַ֔ם כְּמִסְפַּ֥ד הֲדַדְ־רִמֹּ֖ון בְּבִקְעַ֥ת מְגִדֹּֽון׃ ,בַּיֹּ֣ום הַה֗וּא יִגְדַּ֤ל הַמִּסְפֵּד֙ בִּיר֣וּשָׁלִַ֔ם כְּמִסְפַּ֥ד הֲדַדְ־רִמֹּ֖ון בְּבִקְעַ֥ת מְגִדֹּֽון׃ 
3040,489792,Zechariah 13:1,בַּיֹּ֣ום הַה֗וּא יִֽהְיֶה֙ מָקֹ֣ור נִפְתָּ֔ח לְבֵ֥ית דָּוִ֖יד וּלְיֹשְׁבֵ֣י יְרֽוּשָׁלִָ֑ם לְחַטַּ֖את וּלְנִדָּֽה׃ ,בַּיֹּ֣ום הַה֗וּא יִֽהְיֶה֙ מָקֹ֣ור נִפְתָּ֔ח לְבֵ֥ית דָּוִ֖יד וּלְיֹשְׁבֵ֣י יְרֽוּשָׁלִָ֑ם לְחַטַּ֖את וּלְנִדָּֽה׃ 
3041,489808,Zechariah 13:4,בַּיֹּ֣ום הַה֗וּא יֵבֹ֧שׁוּ הַנְּבִיאִ֛ים ,וְהָיָ֣ה׀ בַּיֹּ֣ום הַה֗וּא יֵבֹ֧שׁוּ הַנְּבִיאִ֛ים אִ֥ישׁ מֵחֶזְיֹנֹ֖ו בְּהִנָּֽבְאֹתֹ֑ו וְלֹ֧א יִלְבְּשׁ֛וּ אַדֶּ֥רֶת שֵׂעָ֖ר לְמַ֥עַן כַּחֵֽשׁ׃ 
3046,489868,Zechariah 14:6,בַּיֹּ֣ום הַה֑וּא לֹֽא־יִהְיֶ֣ה אֹ֔ור יְקָרֹ֖ות וְקִפָּאֹֽון׃,וְהָיָ֖ה בַּיֹּ֣ום הַה֑וּא לֹֽא־יִהְיֶ֣ה אֹ֔ור יְקָרֹ֖ות וְקִפָּאֹֽון׃
3048,489877,Zechariah 14:8,בַּיֹּ֣ום הַה֗וּא יֵצְא֤וּ מַֽיִם־חַיִּים֙ מִיר֣וּשָׁלִַ֔ם ,וְהָיָ֣ה׀ בַּיֹּ֣ום הַה֗וּא יֵצְא֤וּ מַֽיִם־חַיִּים֙ מִיר֣וּשָׁלִַ֔ם חֶצְיָ֗ם אֶל־הַיָּם֙ הַקַּדְמֹונִ֔י וְחֶצְיָ֖ם אֶל־הַיָּ֣ם הָאַחֲרֹ֑ון בַּקַּ֥יִץ וּבָחֹ֖רֶף יִֽהְיֶֽה׃ 
3049,489882,Zechariah 14:9,בַּיֹּ֣ום הַה֗וּא יִהְיֶ֧ה יְהוָ֛ה אֶחָ֖ד ,וְהָיָ֧ה יְהוָ֛ה לְמֶ֖לֶךְ עַל־כָּל־הָאָ֑רֶץ בַּיֹּ֣ום הַה֗וּא יִהְיֶ֧ה יְהוָ֛ה אֶחָ֖ד וּשְׁמֹ֥ו אֶחָֽד׃ 
3050,489898,Zechariah 14:13,בַּיֹּ֣ום הַה֔וּא תִּֽהְיֶ֧ה מְהֽוּמַת־יְהוָ֛ה רַבָּ֖ה בָּהֶ֑ם ,וְהָיָה֙ בַּיֹּ֣ום הַה֔וּא תִּֽהְיֶ֧ה מְהֽוּמַת־יְהוָ֛ה רַבָּ֖ה בָּהֶ֑ם וְהֶחֱזִ֗יקוּ אִ֚ישׁ יַ֣ד רֵעֵ֔הוּ וְעָלְתָ֥ה יָדֹ֖ו עַל־יַ֥ד רֵעֵֽהוּ׃ 
3051,489927,Zechariah 14:20,בַּיֹּ֣ום הַה֗וּא יִֽהְיֶה֙ עַל־מְצִלֹּ֣ות הַסּ֔וּס ,בַּיֹּ֣ום הַה֗וּא יִֽהְיֶה֙ עַל־מְצִלֹּ֣ות הַסּ֔וּס קֹ֖דֶשׁ לַֽיהוָ֑ה וְהָיָ֤ה הַסִּירֹות֙ בְּבֵ֣ית יְהוָ֔ה כַּמִּזְרָקִ֖ים לִפְנֵ֥י הַמִּזְבֵּֽחַ׃ 
3588,497350,Psalms 146:4,בַּיֹּ֥ום הַ֝ה֗וּא אָבְד֥וּ עֶשְׁתֹּנֹתָֽיו׃ ,תֵּצֵ֣א ר֭וּחֹו יָשֻׁ֣ב לְאַדְמָתֹ֑ו בַּיֹּ֥ום הַ֝ה֗וּא אָבְד֥וּ עֶשְׁתֹּנֹתָֽיו׃ 
4379,505785,Esther 8:1,בַּיֹּ֣ום הַה֗וּא נָתַ֞ן הַמֶּ֤לֶךְ אֲחַשְׁוֵרֹושׁ֙ לְאֶסְתֵּ֣ר הַמַּלְכָּ֔ה אֶת־בֵּ֥ית הָמָ֖ן צֹרֵ֣ר הַיְּהוּדִ֑ים ,בַּיֹּ֣ום הַה֗וּא נָתַ֞ן הַמֶּ֤לֶךְ אֲחַשְׁוֵרֹושׁ֙ לְאֶסְתֵּ֣ר הַמַּלְכָּ֔ה אֶת־בֵּ֥ית הָמָ֖ן צֹרֵ֣ר הַיְּהוּדִ֑ים וּמָרְדֳּכַ֗י בָּ֚א לִפְנֵ֣י הַמֶּ֔לֶךְ כִּֽי־הִגִּ֥ידָה אֶסְתֵּ֖ר מַ֥ה הוּא־לָֽהּ׃ 
4387,505895,Esther 9:11,בַּיֹּ֣ום הַה֗וּא בָּ֣א מִסְפַּ֧ר הַֽהֲרוּגִ֛ים בְּשׁוּשַׁ֥ן הַבִּירָ֖ה לִפְנֵ֥י הַמֶּֽלֶךְ׃ ס ,בַּיֹּ֣ום הַה֗וּא בָּ֣א מִסְפַּ֧ר הַֽהֲרוּגִ֛ים בְּשׁוּשַׁ֥ן הַבִּירָ֖ה לִפְנֵ֥י הַמֶּֽלֶךְ׃ ס 
4531,509716,Nehemiah 13:1,בַּיֹּ֣ום הַה֗וּא נִקְרָ֛א בְּסֵ֥פֶר מֹשֶׁ֖ה בְּאָזְנֵ֣י הָעָ֑ם ,בַּיֹּ֣ום הַה֗וּא נִקְרָ֛א בְּסֵ֥פֶר מֹשֶׁ֖ה בְּאָזְנֵ֣י הָעָ֑ם וְנִמְצָא֙ כָּת֣וּב בֹּ֔ו אֲ֠שֶׁר לֹא־יָבֹ֨וא עַמֹּנִ֧י וּמֹאָבִ֛י בִּקְהַ֥ל הָאֱלֹהִ֖ים עַד־עֹולָֽם׃ 
4575,511136,1_Chronicles 16:7,בַּיֹּ֣ום הַה֗וּא אָ֣ז נָתַ֤ן דָּוִיד֙ בָּרֹ֔אשׁ ,בַּיֹּ֣ום הַה֗וּא אָ֣ז נָתַ֤ן דָּוִיד֙ בָּרֹ֔אשׁ לְהֹדֹ֖ות לַיהוָ֑ה בְּיַד־אָסָ֖ף וְאֶחָֽיו׃ פ 
