,cl_node,ref,target_ph,xphrase_function,verse_text,cl_text
16156,487305,Amos 9:15,נְטַעְתִּ֖ים ,Cmpl,וּנְטַעְתִּ֖ים עַל־אַדְמָתָ֑ם וְלֹ֨א יִנָּתְשׁ֜וּ עֹ֗וד מֵעַ֤ל אַדְמָתָם֙ אֲשֶׁ֣ר נָתַ֣תִּי לָהֶ֔ם אָמַ֖ר יְהוָ֥ה אֱלֹהֶֽיךָ׃ ,וּנְטַעְתִּ֖ים עַל־אַדְמָתָ֑ם 
7791,442093,Numbers 11:17,תִשָּׂ֥א ,Adju,וְיָרַדְתִּ֗י וְדִבַּרְתִּ֣י עִמְּךָ֮ שָׁם֒ וְאָצַלְתִּ֗י מִן־הָר֛וּחַ אֲשֶׁ֥ר עָלֶ֖יךָ וְשַׂמְתִּ֣י עֲלֵיהֶ֑ם וְנָשְׂא֤וּ אִתְּךָ֙ בְּמַשָּׂ֣א הָעָ֔ם וְלֹא־תִשָּׂ֥א אַתָּ֖ה לְבַדֶּֽךָ׃ ,וְלֹא־תִשָּׂ֥א אַתָּ֖ה לְבַדֶּֽךָ׃ 
12620,464679,1_Kings 22:37,יָּ֣מָת ,Subj,וַיָּ֣מָת הַמֶּ֔לֶךְ וַיָּבֹ֖וא שֹׁמְרֹ֑ון וַיִּקְבְּר֥וּ אֶת־הַמֶּ֖לֶךְ בְּשֹׁמְרֹֽון׃ ,וַיָּ֣מָת הַמֶּ֔לֶךְ 
15054,480060,Ezekiel 1:15,אֵ֖רֶא ,Objc,וָאֵ֖רֶא הַחַיֹּ֑ות וְהִנֵּה֩ אֹופַ֨ן אֶחָ֥ד בָּאָ֛רֶץ אֵ֥צֶל הַחַיֹּ֖ות לְאַרְבַּ֥עַת פָּנָֽיו׃ ,וָאֵ֖רֶא הַחַיֹּ֑ות 
12803,465629,2_Kings 6:15,יַּשְׁכֵּם ,Subj,וַ֠יַּשְׁכֵּם מְשָׁרֵ֨ת אִ֥ישׁ הָֽאֱלֹהִים֮ לָקוּם֒ וַיֵּצֵ֕א וְהִנֵּה־חַ֛יִל סֹובֵ֥ב אֶת־הָעִ֖יר וְס֣וּס וָרָ֑כֶב וַיֹּ֨אמֶר נַעֲרֹ֥ו אֵלָ֛יו אֲהָ֥הּ אֲדֹנִ֖י אֵיכָ֥ה נַֽעֲשֶֽׂה׃ ,וַ֠יַּשְׁכֵּם מְשָׁרֵ֨ת אִ֥ישׁ הָֽאֱלֹהִים֮ 
10581,455119,1_Samuel 11:9,תֹֽאמְרוּן֙ ,Cmpl,וַיֹּאמְר֞וּ לַמַּלְאָכִ֣ים הַבָּאִ֗ים כֹּ֤ה תֹֽאמְרוּן֙ לְאִישׁ֙ יָבֵ֣ישׁ גִּלְעָ֔ד מָחָ֛ר תִּהְיֶֽה־לָכֶ֥ם תְּשׁוּעָ֖ה כְּחֹ֣ם הַשָּׁ֑מֶשׁ וַיָּבֹ֣אוּ הַמַּלְאָכִ֗ים וַיַּגִּ֛ידוּ לְאַנְשֵׁ֥י יָבֵ֖ישׁ וַיִּשְׂמָֽחוּ׃ ,כֹּ֤ה תֹֽאמְרוּן֙ לְאִישׁ֙ יָבֵ֣ישׁ גִּלְעָ֔ד 
19283,512934,2_Chronicles 7:13,אֶֽעֱצֹ֤ר ,Objc,הֵ֣ן אֶֽעֱצֹ֤ר הַשָּׁמַ֨יִם֙ וְלֹֽא־יִהְיֶ֣ה מָטָ֔ר וְהֵן־אֲצַוֶּ֥ה עַל־חָגָ֖ב לֶאֱכֹ֣ול הָאָ֑רֶץ וְאִם־אֲשַׁלַּ֥ח דֶּ֖בֶר בְּעַמִּֽי׃ ,הֵ֣ן אֶֽעֱצֹ֤ר הַשָּׁמַ֨יִם֙ 
12602,464601,1_Kings 22:21,יֵּצֵ֣א ,Subj,וַיֵּצֵ֣א הָר֗וּחַ וַֽיַּעֲמֹד֙ לִפְנֵ֣י יְהוָ֔ה וַיֹּ֖אמֶר אֲנִ֣י אֲפַתֶּ֑נּוּ וַיֹּ֧אמֶר יְהוָ֛ה אֵלָ֖יו בַּמָּֽה׃ ,וַיֵּצֵ֣א הָר֗וּחַ 
6685,437350,Exodus 35:21,יָּבֹ֕אוּ ,Subj,וַיָּבֹ֕אוּ כָּל־אִ֖ישׁ אֲשֶׁר־נְשָׂאֹ֣ו לִבֹּ֑ו וְכֹ֡ל אֲשֶׁר֩ נָדְבָ֨ה רוּחֹ֜ו אֹתֹ֗ו הֵ֠בִיאוּ אֶת־תְּרוּמַ֨ת יְהוָ֜ה לִמְלֶ֨אכֶת אֹ֤הֶל מֹועֵד֙ וּלְכָל־עֲבֹ֣דָתֹ֔ו וּלְבִגְדֵ֖י הַקֹּֽדֶשׁ׃ ,וַיָּבֹ֕אוּ כָּל־אִ֖ישׁ 
18086,503100,Ruth 3:6,תַּ֕עַשׂ ,Cmpl,וַתֵּ֖רֶד הַגֹּ֑רֶן וַתַּ֕עַשׂ כְּכֹ֥ל אֲשֶׁר־צִוַּ֖תָּה חֲמֹותָֽהּ׃ ,וַתַּ֕עַשׂ כְּכֹ֥ל 
16170,487360,Obadiah 1:14,תַּעֲמֹד֙ ,Cmpl,וְאַֽל־תַּעֲמֹד֙ עַל־הַפֶּ֔רֶק לְהַכְרִ֖ית אֶת־פְּלִיטָ֑יו וְאַל־תַּסְגֵּ֥ר שְׂרִידָ֖יו בְּיֹ֥ום צָרָֽה׃ ,וְאַֽל־תַּעֲמֹד֙ עַל־הַפֶּ֔רֶק 
10135,453168,Judges 16:19,תְּיַשְּׁנֵ֨הוּ֙ ,Cmpl,וַתְּיַשְּׁנֵ֨הוּ֙ עַל־בִּרְכֶּ֔יהָ וַתִּקְרָ֣א לָאִ֔ישׁ וַתְּגַלַּ֕ח אֶת־שֶׁ֖בַע מַחְלְפֹ֣ות רֹאשֹׁ֑ו וַתָּ֨חֶל֙ לְעַנֹּותֹ֔ו וַיָּ֥סַר כֹּחֹ֖ו מֵעָלָֽיו׃ ,וַתְּיַשְּׁנֵ֨הוּ֙ עַל־בִּרְכֶּ֔יהָ 
12419,463570,1_Kings 16:31,יַּעֲבֹ֣ד ,Objc,וַיְהִי֙ הֲנָקֵ֣ל לֶכְתֹּ֔ו בְּחַטֹּ֖אות יָרָבְעָ֣ם בֶּן־נְבָ֑ט וַיִּקַּ֨ח אִשָּׁ֜ה אֶת־אִיזֶ֗בֶל בַּת־אֶתְבַּ֨עַל֙ מֶ֣לֶךְ צִידֹנִ֔ים וַיֵּ֨לֶךְ֙ וַֽיַּעֲבֹ֣ד אֶת־הַבַּ֔עַל וַיִּשְׁתַּ֖חוּ לֹֽו׃ ,וַֽיַּעֲבֹ֣ד אֶת־הַבַּ֔עַל 
18843,509365,Nehemiah 9:18,יַּעֲשׂ֔וּ ,Objc,אַ֗ף כִּֽי־עָשׂ֤וּ לָהֶם֙ עֵ֣גֶל מַסֵּכָ֔ה וַיֹּ֣אמְר֔וּ זֶ֣ה אֱלֹהֶ֔יךָ אֲשֶׁ֥ר הֶעֶלְךָ֖ מִמִּצְרָ֑יִם וַֽיַּעֲשׂ֔וּ נֶאָצֹ֖ות גְּדֹלֹֽות׃ ,וַֽיַּעֲשׂ֔וּ נֶאָצֹ֖ות גְּדֹלֹֽות׃ 
10610,455293,1_Samuel 13:4,הִכָּ֤ה ,Objc,וְכָל־יִשְׂרָאֵ֞ל שָׁמְע֣וּ לֵאמֹ֗ר הִכָּ֤ה שָׁאוּל֙ אֶת־נְצִ֣יב פְּלִשְׁתִּ֔ים וְגַם־נִבְאַשׁ יִשְׂרָאֵ֖ל בַּפְּלִשְׁתִּ֑ים וַיִּצָּעֲק֥וּ הָעָ֛ם אַחֲרֵ֥י שָׁא֖וּל הַגִּלְגָּֽל׃ ,הִכָּ֤ה שָׁאוּל֙ אֶת־נְצִ֣יב פְּלִשְׁתִּ֔ים 
11491,459477,2_Samuel 14:1,יֵּ֖דַע ,Subj,וַיֵּ֖דַע יֹואָ֣ב בֶּן־צְרֻיָ֑ה כִּֽי־לֵ֥ב הַמֶּ֖לֶךְ עַל־אַבְשָׁלֹֽום׃ ,וַיֵּ֖דַע יֹואָ֣ב בֶּן־צְרֻיָ֑ה 
18294,504714,Ecclesiastes 12:9,לִמַּד־,Objc,וְיֹתֵ֕ר שֶׁהָיָ֥ה קֹהֶ֖לֶת חָכָ֑ם עֹ֗וד לִמַּד־דַּ֨עַת֙ אֶת־הָעָ֔ם וְאִזֵּ֣ן וְחִקֵּ֔ר תִּקֵּ֖ן מְשָׁלִ֥ים הַרְבֵּֽה׃ ,עֹ֗וד לִמַּד־דַּ֨עַת֙ אֶת־הָעָ֔ם 
13452,468588,Isaiah 6:7,נָגַ֥ע ,Cmpl,וַיַּגַּ֣ע עַל־פִּ֔י וַיֹּ֕אמֶר הִנֵּ֛ה נָגַ֥ע זֶ֖ה עַל־שְׂפָתֶ֑יךָ וְסָ֣ר עֲוֹנֶ֔ךָ וְחַטָּאתְךָ֖ תְּכֻפָּֽר׃ ,הִנֵּ֛ה נָגַ֥ע זֶ֖ה עַל־שְׂפָתֶ֑יךָ 
10091,452978,Judges 15:6,יִּתְּנָ֖הּ ,Cmpl,וַיֹּאמְר֣וּ פְלִשְׁתִּים֮ מִ֣י עָ֣שָׂה זֹאת֒ וַיֹּאמְר֗וּ שִׁמְשֹׁון֙ חֲתַ֣ן הַתִּמְנִ֔י כִּ֚י לָקַ֣ח אֶת־אִשְׁתֹּ֔ו וַֽיִּתְּנָ֖הּ לְמֵרֵעֵ֑הוּ וַיַּעֲל֣וּ פְלִשְׁתִּ֔ים וַיִּשְׂרְפ֥וּ אֹותָ֛הּ וְאֶת־אָבִ֖יהָ בָּאֵֽשׁ׃ ,וַֽיִּתְּנָ֖הּ לְמֵרֵעֵ֑הוּ 
16691,490875,Psalms 18:16,יִּגָּלוּ֮ ,Adju,וַיֵּ֤רָא֨וּ׀ אֲפִ֥יקֵי מַ֗יִם וַֽיִּגָּלוּ֮ מֹוסְדֹ֪ות תֵּ֫בֵ֥ל מִגַּעֲרָ֣תְךָ֣ יְהוָ֑ה מִ֝נִּשְׁמַ֗ת ר֣וּחַ אַפֶּֽךָ׃ ,וַֽיִּגָּלוּ֮ מֹוסְדֹ֪ות תֵּ֫בֵ֥ל מִגַּעֲרָ֣תְךָ֣ 
10312,453921,Judges 21:22,יָבֹ֣אוּ ,Subj,וְהָיָ֡ה כִּֽי־יָבֹ֣אוּ אֲבֹותָם֩ אֹ֨ו אֲחֵיהֶ֜ם לָרִ֣יב ׀ אֵלֵ֗ינוּ וְאָמַ֤רְנוּ אֲלֵיהֶם֙ חָנּ֣וּנוּ אֹותָ֔ם כִּ֣י לֹ֥א לָקַ֛חְנוּ אִ֥ישׁ אִשְׁתֹּ֖ו בַּמִּלְחָמָ֑ה כִּ֣י לֹ֥א אַתֶּ֛ם נְתַתֶּ֥ם לָהֶ֖ם כָּעֵ֥ת תֶּאְשָֽׁמוּ׃ ס ,כִּֽי־יָבֹ֣אוּ אֲבֹותָם֩ אֹ֨ו אֲחֵיהֶ֜ם 
5475,431705,Genesis 37:17,יֹּ֤אמֶר ,Subj,וַיֹּ֤אמֶר הָאִישׁ֙ נָסְע֣וּ מִזֶּ֔ה כִּ֤י שָׁמַ֨עְתִּי֙ אֹֽמְרִ֔ים נֵלְכָ֖ה דֹּתָ֑יְנָה וַיֵּ֤לֶךְ יֹוסֵף֙ אַחַ֣ר אֶחָ֔יו וַיִּמְצָאֵ֖ם בְּדֹתָֽן׃ ,וַיֹּ֤אמֶר הָאִישׁ֙ 
16638,490463,Psalms 7:18,אֲזַמְּרָ֗ה ,Objc,אֹודֶ֣ה יְהוָ֣ה כְּצִדְקֹ֑ו וַ֝אֲזַמְּרָ֗ה שֵֽׁם־יְהוָ֥ה עֶלְיֹֽון׃ ,וַ֝אֲזַמְּרָ֗ה שֵֽׁם־יְהוָ֥ה עֶלְיֹֽון׃ 
7108,439095,Leviticus 13:31,יִרְאֶ֨ה ,Objc,וְכִֽי־יִרְאֶ֨ה הַכֹּהֵ֜ן אֶת־נֶ֣גַע הַנֶּ֗תֶק וְהִנֵּ֤ה אֵין־מַרְאֵ֨הוּ֙ עָמֹ֣ק מִן־הָעֹ֔ור וְשֵׂעָ֥ר שָׁחֹ֖ר אֵ֣ין בֹּ֑ו וְהִסְגִּ֧יר הַכֹּהֵ֛ן אֶת־נֶ֥גַע הַנֶּ֖תֶק שִׁבְעַ֥ת יָמִֽים׃ ,וְכִֽי־יִרְאֶ֨ה הַכֹּהֵ֜ן אֶת־נֶ֣גַע הַנֶּ֗תֶק 
18435,505472,Esther 3:10,יָּ֧סַר ,Cmpl,וַיָּ֧סַר הַמֶּ֛לֶךְ אֶת־טַבַּעְתֹּ֖ו מֵעַ֣ל יָדֹ֑ו וַֽיִּתְּנָ֗הּ לְהָמָ֧ן בֶּֽן־הַמְּדָ֛תָא הָאֲגָגִ֖י צֹרֵ֥ר הַיְּהוּדִֽים׃ ,וַיָּ֧סַר הַמֶּ֛לֶךְ אֶת־טַבַּעְתֹּ֖ו מֵעַ֣ל יָדֹ֑ו 
15653,483923,Ezekiel 34:27,הִ֨צַּלְתִּ֔ים ,Cmpl,וְנָתַן֩ עֵ֨ץ הַשָּׂדֶ֜ה אֶת־פִּרְיֹ֗ו וְהָאָ֨רֶץ֙ תִּתֵּ֣ן יְבוּלָ֔הּ וְהָי֥וּ עַל־אַדְמָתָ֖ם לָבֶ֑טַח וְֽיָדְע֞וּ כִּי־אֲנִ֣י יְהוָ֗ה בְּשִׁבְרִי֙ אֶת־מֹטֹ֣ות עֻלָּ֔ם וְהִ֨צַּלְתִּ֔ים מִיַּ֖ד הָעֹבְדִ֥ים בָּהֶֽם׃ ,וְהִ֨צַּלְתִּ֔ים מִיַּ֖ד 
4749,427729,Genesis 2:15,יִּקַּ֛ח ,Objc,וַיִּקַּ֛ח יְהוָ֥ה אֱלֹהִ֖ים אֶת־הָֽאָדָ֑ם וַיַּנִּחֵ֣הוּ בְגַן־עֵ֔דֶן לְעָבְדָ֖הּ וּלְשָׁמְרָֽהּ׃ ,וַיִּקַּ֛ח יְהוָ֥ה אֱלֹהִ֖ים אֶת־הָֽאָדָ֑ם 
13642,469975,Isaiah 26:5,יַשְׁפִּילָהּ֙ ,Adju,כִּ֤י הֵשַׁח֙ יֹשְׁבֵ֣י מָרֹ֔ום קִרְיָ֖ה נִשְׂגָּבָ֑ה יַשְׁפִּילֶ֤נָּה יַשְׁפִּילָהּ֙ עַד־אֶ֔רֶץ יַגִּיעֶ֖נָּה עַד־עָפָֽר׃ ,יַשְׁפִּילָהּ֙ עַד־אֶ֔רֶץ 
5511,431848,Genesis 38:12,יִּרְבּוּ֙ ,Subj,וַיִּרְבּוּ֙ הַיָּמִ֔ים וַתָּ֖מָת בַּת־שׁ֣וּעַ אֵֽשֶׁת־יְהוּדָ֑ה וַיִּנָּ֣חֶם יְהוּדָ֗ה וַיַּ֜עַל עַל־גֹּֽזֲזֵ֤י צֹאנֹו֙ ה֗וּא וְחִירָ֛ה רֵעֵ֥הוּ הָעֲדֻלָּמִ֖י תִּמְנָֽתָה׃ ,וַיִּרְבּוּ֙ הַיָּמִ֔ים 
19157,512339,1_Chronicles 29:23,יֵּ֣שֶׁב ,Adju,וַיֵּ֣שֶׁב שְׁ֠לֹמֹה עַל־כִּסֵּ֨א יְהוָ֧ה׀ לְמֶ֛לֶךְ תַּֽחַת־דָּוִ֥יד אָבִ֖יו וַיַּצְלַ֑ח וַיִּשְׁמְע֥וּ אֵלָ֖יו כָּל־יִשְׂרָאֵֽל׃ ,וַיֵּ֣שֶׁב שְׁ֠לֹמֹה עַל־כִּסֵּ֨א יְהוָ֧ה׀ לְמֶ֛לֶךְ תַּֽחַת־דָּוִ֥יד אָבִ֖יו 
10668,455627,1_Samuel 15:2,אָמַר֙ ,Subj,כֹּ֤ה אָמַר֙ יְהוָ֣ה צְבָאֹ֔ות פָּקַ֕דְתִּי אֵ֛ת אֲשֶׁר־עָשָׂ֥ה עֲמָלֵ֖ק לְיִשְׂרָאֵ֑ל אֲשֶׁר־שָׂ֥ם לֹו֙ בַּדֶּ֔רֶךְ בַּעֲלֹתֹ֖ו מִמִּצְרָֽיִם׃ ,כֹּ֤ה אָמַר֙ יְהוָ֣ה צְבָאֹ֔ות 
12028,461953,1_Kings 6:12,שָׁמַרְתָּ֥ ,Objc,הַבַּ֨יִת הַזֶּ֜ה אֲשֶׁר־אַתָּ֣ה בֹנֶ֗ה אִם־תֵּלֵ֤ךְ בְּחֻקֹּתַי֙ וְאֶת־מִשְׁפָּטַ֣י תַּֽעֲשֶׂ֔ה וְשָׁמַרְתָּ֥ אֶת־כָּל־מִצְוֹתַ֖י לָלֶ֣כֶת בָּהֶ֑ם וַהֲקִמֹתִ֤י אֶת־דְּבָרִי֙ אִתָּ֔ךְ אֲשֶׁ֥ר דִּבַּ֖רְתִּי אֶל־דָּוִ֥ד אָבִֽיךָ׃ ,וְשָׁמַרְתָּ֥ אֶת־כָּל־מִצְוֹתַ֖י 
15208,481190,Ezekiel 13:10,הִטְע֧וּ ,Objc,יַ֣עַן וּבְיַ֜עַן הִטְע֧וּ אֶת־עַמִּ֛י לֵאמֹ֥ר שָׁלֹ֖ום וְאֵ֣ין שָׁלֹ֑ום וְהוּא֙ בֹּ֣נֶה חַ֔יִץ וְהִנָּ֛ם טָחִ֥ים אֹתֹ֖ו תָּפֵֽל׃ ,וּבְיַ֜עַן הִטְע֧וּ אֶת־עַמִּ֛י 
15716,484300,Ezekiel 37:21,קִבַּצְתִּ֤י ,Cmpl,וְדַבֵּ֣ר אֲלֵיהֶ֗ם כֹּֽה־אָמַר֮ אֲדֹנָ֣י יְהוִה֒ הִנֵּ֨ה אֲנִ֤י לֹקֵ֨חַ֙ אֶת־בְּנֵ֣י יִשְׂרָאֵ֔ל מִבֵּ֥ין הַגֹּויִ֖ם אֲשֶׁ֣ר הָֽלְכוּ־שָׁ֑ם וְקִבַּצְתִּ֤י אֹתָם֙ מִסָּבִ֔יב וְהֵבֵאתִ֥י אֹותָ֖ם אֶל־אַדְמָתָֽם׃ ,וְקִבַּצְתִּ֤י אֹתָם֙ מִסָּבִ֔יב 
15917,485636,Hosea 2:14,שַׂמְתִּ֣ים ,Cmpl,וַהֲשִׁמֹּתִ֗י גַּפְנָהּ֙ וּתְאֵ֣נָתָ֔הּ אֲשֶׁ֣ר אָמְרָ֗ה אֶתְנָ֥ה הֵ֨מָּה֙ לִ֔י אֲשֶׁ֥ר נָֽתְנוּ־לִ֖י מְאַֽהֲבָ֑י וְשַׂמְתִּ֣ים לְיַ֔עַר וַאֲכָלָ֖תַם חַיַּ֥ת הַשָּׂדֶֽה׃ ,וְשַׂמְתִּ֣ים לְיַ֔עַר 
17375,496194,Psalms 119:18,אַבִּ֑יטָה ,Objc,גַּל־עֵינַ֥י וְאַבִּ֑יטָה נִ֝פְלָאֹ֗ות מִתֹּורָתֶֽךָ׃ ,וְאַבִּ֑יטָה נִ֝פְלָאֹ֗ות מִתֹּורָתֶֽךָ׃ 
9670,451226,Judges 2:1,נִשְׁבַּ֨עְתִּי֙ ,Cmpl,וַיַּ֧עַל מַלְאַךְ־יְהוָ֛ה מִן־הַגִּלְגָּ֖ל אֶל־הַבֹּכִ֑ים פ וַיֹּאמֶר֩ אַעֲלֶ֨ה אֶתְכֶ֜ם מִמִּצְרַ֗יִם וָאָבִ֤יא אֶתְכֶם֙ אֶל־הָאָ֗רֶץ אֲשֶׁ֤ר נִשְׁבַּ֨עְתִּי֙ לַאֲבֹ֣תֵיכֶ֔ם וָאֹמַ֕ר לֹֽא־אָפֵ֧ר בְּרִיתִ֛י אִתְּכֶ֖ם לְעֹולָֽם׃ ,אֲשֶׁ֤ר נִשְׁבַּ֨עְתִּי֙ לַאֲבֹ֣תֵיכֶ֔ם 
6792,437830,Exodus 40:23,יַּעֲרֹ֥ךְ ,Loca,וַיַּעֲרֹ֥ךְ עָלָ֛יו עֵ֥רֶךְ לֶ֖חֶם לִפְנֵ֣י יְהוָ֑ה כַּאֲשֶׁ֛ר צִוָּ֥ה יְהוָ֖ה אֶת־מֹשֶֽׁה׃ ס ,וַיַּעֲרֹ֥ךְ עָלָ֛יו עֵ֥רֶךְ לֶ֖חֶם לִפְנֵ֣י יְהוָ֑ה 
15912,485609,Hosea 2:8,גָֽדַרְתִּי֙ ,Objc,לָכֵ֛ן הִנְנִי־שָׂ֥ךְ אֶת־דַּרְכֵּ֖ךְ בַּסִּירִ֑ים וְגָֽדַרְתִּי֙ אֶת־גְּדֵרָ֔הּ וּנְתִיבֹותֶ֖יהָ לֹ֥א תִמְצָֽא׃ ,וְגָֽדַרְתִּי֙ אֶת־גְּדֵרָ֔הּ 
16344,488646,Zephaniah 2:7,יִפְקְדֵ֛ם ,Subj,וְהָ֣יָה חֶ֗בֶל לִשְׁאֵרִ֛ית בֵּ֥ית יְהוּדָ֖ה עֲלֵיהֶ֣ם יִרְע֑וּן בְּבָתֵּ֣י אַשְׁקְלֹ֗ון בָּעֶ֨רֶב֙ יִרְבָּצ֔וּן כִּ֧י יִפְקְדֵ֛ם יְהוָ֥ה אֱלֹהֵיהֶ֖ם וְשָׁ֥ב שְׁבִיתָֽם׃,כִּ֧י יִפְקְדֵ֛ם יְהוָ֥ה אֱלֹהֵיהֶ֖ם 
11631,460151,2_Samuel 18:9,יָּבֹ֣א ,Cmpl,וַיִּקָּרֵא֙ אַבְשָׁלֹ֔ום לִפְנֵ֖י עַבְדֵ֣י דָוִ֑ד וְאַבְשָׁלֹ֞ום רֹכֵ֣ב עַל־הַפֶּ֗רֶד וַיָּבֹ֣א הַפֶּ֡רֶד תַּ֣חַת שֹׂובֶךְ֩ הָאֵלָ֨ה הַגְּדֹולָ֜ה וַיֶּחֱזַ֧ק רֹאשֹׁ֣ו בָאֵלָ֗ה וַיֻּתַּן֙ בֵּ֤ין הַשָּׁמַ֨יִם֙ וּבֵ֣ין הָאָ֔רֶץ וְהַפֶּ֥רֶד אֲשֶׁר־תַּחְתָּ֖יו עָבָֽר׃ ,וַיָּבֹ֣א הַפֶּ֡רֶד תַּ֣חַת שֹׂובֶךְ֩ הָאֵלָ֨ה הַגְּדֹולָ֜ה 
11432,459191,2_Samuel 12:20,יָּקָם֩ ,Cmpl,וַיָּקָם֩ דָּוִ֨ד מֵהָאָ֜רֶץ וַיִּרְחַ֣ץ וַיָּ֗סֶךְ וַיְחַלֵּף֙ שִׂמְלֹתָ֔יו וַיָּבֹ֥א בֵית־יְהוָ֖ה וַיִּשְׁתָּ֑חוּ וַיָּבֹא֙ אֶל־בֵּיתֹ֔ו וַיִּשְׁאַ֕ל וַיָּשִׂ֥ימוּ לֹ֛ו לֶ֖חֶם וַיֹּאכַֽל׃ ,וַיָּקָם֩ דָּוִ֨ד מֵהָאָ֜רֶץ 
15481,482971,Ezekiel 26:13,הִשְׁבַּתִּ֖י ,Objc,וְהִשְׁבַּתִּ֖י הֲמֹ֣ון שִׁירָ֑יִךְ וְקֹ֣ול כִּנֹּורַ֔יִךְ לֹ֥א יִשָּׁמַ֖ע עֹֽוד׃ ,וְהִשְׁבַּתִּ֖י הֲמֹ֣ון שִׁירָ֑יִךְ 
13800,471163,Isaiah 38:22,אֶעֱלֶ֖ה ,Cmpl,וַיֹּ֥אמֶר חִזְקִיָּ֖הוּ מָ֣ה אֹ֑ות כִּ֥י אֶעֱלֶ֖ה בֵּ֥ית יְהוָֽה׃ ס ,כִּ֥י אֶעֱלֶ֖ה בֵּ֥ית יְהוָֽה׃ ס 
11805,460872,2_Samuel 22:47,יָרֻ֕ם ,Subj,חַי־יְהוָ֖ה וּבָר֣וּךְ צוּרִ֑י וְיָרֻ֕ם אֱלֹהֵ֖י צ֥וּר יִשְׁעִֽי׃ ,וְיָרֻ֕ם אֱלֹהֵ֖י צ֥וּר יִשְׁעִֽי׃ 
14319,476046,Jeremiah 19:10,שָׁבַרְתָּ֖ ,Adju,וְשָׁבַרְתָּ֖ הַבַּקְבֻּ֑ק לְעֵינֵי֙ הָֽאֲנָשִׁ֔ים הַהֹלְכִ֖ים אֹותָֽךְ׃ ,וְשָׁבַרְתָּ֖ הַבַּקְבֻּ֑ק לְעֵינֵי֙ הָֽאֲנָשִׁ֔ים 
12031,461958,1_Kings 6:13,אֶעֱזֹ֖ב ,Objc,וְשָׁ֣כַנְתִּ֔י בְּתֹ֖וךְ בְּנֵ֣י יִשְׂרָאֵ֑ל וְלֹ֥א אֶעֱזֹ֖ב אֶת־עַמִּ֥י יִשְׂרָאֵֽל׃ ס ,וְלֹ֥א אֶעֱזֹ֖ב אֶת־עַמִּ֥י יִשְׂרָאֵֽל׃ ס 
8271,444673,Numbers 34:13,יְצַ֣ו ,Objc,וַיְצַ֣ו מֹשֶׁ֔ה אֶת־בְּנֵ֥י יִשְׂרָאֵ֖ל לֵאמֹ֑ר זֹ֣את הָאָ֗רֶץ אֲשֶׁ֨ר תִּתְנַחֲל֤וּ אֹתָהּ֙ בְּגֹורָ֔ל אֲשֶׁר֙ צִוָּ֣ה יְהוָ֔ה לָתֵ֛ת לְתִשְׁעַ֥ת הַמַּטֹּ֖ות וַחֲצִ֥י הַמַּטֶּֽה׃ ,וַיְצַ֣ו מֹשֶׁ֔ה אֶת־בְּנֵ֥י יִשְׂרָאֵ֖ל 
5064,429546,Genesis 22:13,יִּשָּׂ֨א ,Objc,וַיִּשָּׂ֨א אַבְרָהָ֜ם אֶת־עֵינָ֗יו וַיַּרְא֙ וְהִנֵּה־אַ֔יִל אַחַ֕ר נֶאֱחַ֥ז בַּסְּבַ֖ךְ בְּקַרְנָ֑יו וַיֵּ֤לֶךְ אַבְרָהָם֙ וַיִּקַּ֣ח אֶת־הָאַ֔יִל וַיַּעֲלֵ֥הוּ לְעֹלָ֖ה תַּ֥חַת בְּנֹֽו׃ ,וַיִּשָּׂ֨א אַבְרָהָ֜ם אֶת־עֵינָ֗יו 
13724,470824,Isaiah 36:4,אָמַ֞ר ,Subj,וַיֹּ֤אמֶר אֲלֵיהֶם֙ רַב־שָׁקֵ֔ה אִמְרוּ־נָ֖א אֶל־חִזְקִיָּ֑הוּ כֹּֽה־אָמַ֞ר הַמֶּ֤לֶךְ הַגָּדֹול֙ מֶ֣לֶךְ אַשּׁ֔וּר מָ֧ה הַבִּטָּחֹ֛ון הַזֶּ֖ה אֲשֶׁ֥ר בָּטָֽחְתָּ׃ ,כֹּֽה־אָמַ֞ר הַמֶּ֤לֶךְ הַגָּדֹול֙ מֶ֣לֶךְ אַשּׁ֔וּר 
15382,482233,Ezekiel 21:3,אָֽמַרְתָּ֙ ,Cmpl,וְאָֽמַרְתָּ֙ לְיַ֣עַר הַנֶּ֔גֶב שְׁמַ֖ע דְּבַר־יְהוָ֑ה כֹּֽה־אָמַ֣ר אֲדֹנָ֣י יְהוִ֡ה הִנְנִ֣י מַֽצִּית־בְּךָ֣׀ אֵ֡שׁ וְאָכְלָ֣ה בְךָ֣ כָל־עֵֽץ־לַח֩ וְכָל־עֵ֨ץ יָבֵ֤שׁ לֹֽא־תִכְבֶּה֙ לַהֶ֣בֶת שַׁלְהֶ֔בֶת וְנִצְרְבוּ־בָ֥הּ כָּל־פָּנִ֖ים מִנֶּ֥גֶב צָפֹֽונָה׃ ,וְאָֽמַרְתָּ֙ לְיַ֣עַר הַנֶּ֔גֶב 
