node,head,ref,sentence
835641,בקר,Ps 5:4,יְֽהוָ֗ה בֹּ֖קֶר תִּשְׁמַ֣ע קֹולִ֑י בֹּ֥קֶר אֶֽעֱרָךְ־לְ֝ךָ֗ וַאֲצַפֶּֽה׃ 
836676,לילה,Ps 17:3,פָּ֘קַ֤דְתָּ לַּ֗יְלָה 
837433,לילה,Ps 22:3,אֱֽלֹהַ֗י אֶקְרָ֣א יֹ֖ומָם וְלֹ֣א תַעֲנֶ֑ה וְ֝לַ֗יְלָה וְֽלֹא־דֽוּמִיָּ֥ה לִֽי׃ 
844292,לילה,Ps 77:3,יָדִ֤י׀ לַ֣יְלָה נִ֭גְּרָה 
845852,יום,Ps 88:2,יְ֭הוָה אֱלֹהֵ֣י יְשׁוּעָתִ֑י יֹום־צָעַ֖קְתִּי בַלַּ֣יְלָה נֶגְדֶּֽךָ׃ 
846943,יום,Ps 96:2,בַּשְּׂר֥וּ מִיֹּֽום־לְ֝יֹ֗ום יְשׁוּעָתֹֽו׃ 
846943,יום,Ps 96:2,בַּשְּׂר֥וּ מִיֹּֽום־לְ֝יֹ֗ום יְשׁוּעָתֹֽו׃ 
847833,ערב,Ps 104:23,יֵצֵ֣א אָדָ֣ם לְפָעֳלֹ֑ו וְֽלַעֲבֹ֖דָתֹ֣ו עֲדֵי־עָֽרֶב׃ 
848956,דור,Ps 109:13,בְּדֹ֥ור אַ֝חֵ֗ר יִמַּ֥ח שְׁמָֽם׃ 
853909,בקר,Job 4:20,מִבֹּ֣קֶר לָעֶ֣רֶב יֻכַּ֑תּוּ 
858097,לילה,Job 27:20,לַ֝֗יְלָה גְּנָבַ֥תּוּ סוּפָֽה׃ 
858613,לילה,Job 30:17,לַ֗יְלָה עֲ֭צָמַי נִקַּ֣ר מֵעָלָ֑י 
859640,לילה,Job 34:25,וְהָ֥פַךְ לַ֝֗יְלָה 
867410,לילה,Prov 31:15,וַתָּ֤קָם׀ בְּעֹ֬וד לַ֗יְלָה 
880878,עת,Dan 11:24,וְעַ֧ל מִבְצָרִ֛ים יְחַשֵּׁ֥ב מַחְשְׁבֹתָ֖יו וְעַד־עֵֽת׃ 
