node,ref,head_voc,text,category,sentence,link
672405,Exod 9:21,שָׂדֶה,בַּשָּׂדֶֽה׃ פ,frame,וַאֲשֶׁ֥ר לֹא־שָׂ֛ם לִבֹּ֖ו אֶל־דְּבַ֣ר יְהוָ֑ה וַֽיַּעֲזֹ֛ב אֶת־עֲבָדָ֥יו וְאֶת־מִקְנֵ֖הוּ בַּשָּׂדֶֽה׃ פ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=9&verse=21&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
673992,Exod 14:2,יָם,עַל־הַיָּֽם׃,glob,נִכְחֹ֥ו תַחֲנ֖וּ עַל־הַיָּֽם׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=14&verse=2&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
673999,Exod 14:3,אֶרֶץ,בָּאָ֑רֶץ,glob,נְבֻכִ֥ים הֵ֖ם בָּאָ֑רֶץ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=14&verse=3&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
674130,Exod 14:12,מִדְבָּר,בַּמִּדְבָּֽר׃,glob,כִּ֣י טֹ֥וב לָ֨נוּ֙ עֲבֹ֣ד אֶת־מִצְרַ֔יִם מִמֻּתֵ֖נוּ בַּמִּדְבָּֽר׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=14&verse=12&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
674185,Exod 14:16,יָם,בְּתֹ֥וךְ הַיָּ֖ם,anap,וְיָבֹ֧אוּ בְנֵֽי־יִשְׂרָאֵ֛ל בְּתֹ֥וךְ הַיָּ֖ם בַּיַּבָּשָֽׁה׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=14&verse=16&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
674259,Exod 14:22,יָם,בְּתֹ֥וךְ הַיָּ֖ם,anap,וַיָּבֹ֧אוּ בְנֵֽי־יִשְׂרָאֵ֛ל בְּתֹ֥וךְ הַיָּ֖ם בַּיַּבָּשָׁ֑ה,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=14&verse=22&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
674331,Exod 14:27,יָם,בְּתֹ֥וךְ הַיָּֽם׃,anap,וַיְנַעֵ֧ר יְהוָ֛ה אֶת־מִצְרַ֖יִם בְּתֹ֥וךְ הַיָּֽם׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=14&verse=27&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
674341,Exod 14:28,יָם,בַּיָּ֑ם,anap,וַיְכַסּ֤וּ אֶת־הָרֶ֨כֶב֙ וְאֶת־הַפָּ֣רָשִׁ֔ים לְכֹל֙ חֵ֣יל פַּרְעֹ֔ה הַבָּאִ֥ים אַחֲרֵיהֶ֖ם בַּיָּ֑ם,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=14&verse=28&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
674350,Exod 14:29,יָם,בְּתֹ֣וךְ הַיָּ֑ם,anap,וּבְנֵ֧י יִשְׂרָאֵ֛ל הָלְכ֥וּ בַיַּבָּשָׁ֖ה בְּתֹ֣וךְ הַיָּ֑ם,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=14&verse=29&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
674553,Exod 15:19,יָם,בְּתֹ֥וךְ הַיָּֽם׃ פ,anap,וּבְנֵ֧י יִשְׂרָאֵ֛ל הָלְכ֥וּ בַיַּבָּשָׁ֖ה בְּתֹ֥וךְ הַיָּֽם׃ פ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=15&verse=19&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
674688,Exod 16:2,מִדְבָּר,בַּמִּדְבָּֽר׃,anap,וַיִּלֹּ֜ונוּ כָּל־עֲדַ֧ת בְּנֵי־יִשְׂרָאֵ֛ל עַל־מֹשֶׁ֥ה וְעַֽל־אַהֲרֹ֖ן בַּמִּדְבָּֽר׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=16&verse=2&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
675034,Exod 16:25,שָׂדֶה,בַּשָּׂדֶֽה׃,glob,הַיֹּ֕ום לֹ֥א תִמְצָאֻ֖הוּ בַּשָּׂדֶֽה׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=16&verse=25&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
